evidence_id,domain,asset_class,source_id,source_group,source_title,review_id,review_decision,primary_reviewed_flag,synthesis_use,evidence_role,metric_original,metric_family,phase,verified_value,verified_metric_definition,direct_vs_total,projected_vs_realised,geography,currency_price_year,page_or_location,source_url,source_raw_path,text_file,notes,context_quote,comparison_relevance,requires_source_spotcheck,manual_split_needed
ev_0028,data_centre,data_centre,dc_pham_2017,economic_impact_report,Data centers: Jobs and opportunities in communities nationwide,dc_metric_0033,partial_accept,False,supporting_with_caveats,supporting_with_caveats,construction_duration_months,construction_duration,construction,24,,,,United States (various states; specific projects noted in quote),,3.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2998644,third_party_sources_not_redistributed/Pham_2017_Data_Centers_Jobs_Opportunities.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_pham_2017.txt,Supports typical DC impact modelling; verify if direct or total (source uses I/O multipliers).,"Economic Impacts of a Typical Large Data center to Local Communities CONSTRUCTION PHASE 18-24 MONTHS OPERATION PHASE ANNUALLY 1,688 Local Jobs 157 Local Jobs $77.7 million wages $7.8 million wages $243.5 million local economic activities $32.5 million local andeconomic activities $9.9 million state & local taxes $1.1 million state & local taxes",scale_context_not_job_creation,True,False
ev_0029,data_centre,data_centre,dc_pham_2017,economic_impact_report,Data centers: Jobs and opportunities in communities nationwide,dc_metric_0034,accept,True,core_scale_or_project_context,primary_citable_after_spotcheck,construction_duration_months,construction_duration,construction,18–24,Construction phase duration for typical large data center,,typical (modelled),United States (various states; specific projects noted in quote),,10.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2998644,third_party_sources_not_redistributed/Pham_2017_Data_Centers_Jobs_Opportunities.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_pham_2017.txt,Reviewed from context_quote only; cross-check original PDF for full context and any caveats.,"Overall, a $215.5 million initial capital investment on building a typical large data center of 165,141 sf supports 1,688 jobs during the 18-24 month construction phase and $77.7 million in wages.",scale_context_not_job_creation,True,True
ev_0030,data_centre,data_centre,dc_pham_2017,economic_impact_report,Data centers: Jobs and opportunities in communities nationwide,dc_metric_0035,partial_accept,False,supporting_with_caveats,supporting_with_caveats,construction_duration_months,construction_duration,construction,24,,,,United States (various states; specific projects noted in quote),,11.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2998644,third_party_sources_not_redistributed/Pham_2017_Data_Centers_Jobs_Opportunities.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_pham_2017.txt,Supports typical DC impact modelling; verify if direct or total (source uses I/O multipliers).,"Economic Impacts of a Typical Large Data center to Local Communities Construction Phase 18-24 months Operation Phase Annually 1,688 local jobs 157 local jobs $77.7 million in wages $7.8 million in wages $243.5 million in local economic activities $32.5 million in local economic activities $9.9 million in state and local taxes $1.1 million in state and local taxes",scale_context_not_job_creation,True,False
ev_0031,data_centre,data_centre,dc_pwc_dcc_2025,industry_io,Economic contributions of data centers in the United States 2023-2024,dc_metric_0036,partial_accept,False,supporting_with_caveats,supporting_with_caveats,capex,investment_scale,operation,"$1,113",Capital spending / investment contribution (direct or total from IO model) in data center sector economic contribution analysis,direct + indirect/induced (per PwC spillover model),estimated (2022-2023 IO tables),United States (various states; specific projects noted in quote),USD (report year ~2023-2026; verify exact),42.0,https://datacentercoalition.org/reports-and-publications,third_party_sources_not_redistributed/PwC_DCC_2025_Economic_Contributions_Data_Centers.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_pwc_dcc_2025.txt,PwC models total contribution with/without cross-state spillover. Verify which column (Operational vs Capital Spending) the value comes from in source tables. High value for understanding multipliers.,"Item 2022 2023 Growth Employment (jobs) Direct contribution 2,100 2,080 -1% Indirect and induced without the spillover effecta 4,930 5,160 5% Operational 3,710 3,680 -1% Capital Spending 1,220 1,480 21% Total contribution without the spillover effecta 7,030 7,240 3% Cross-state spillover 5,900 6,240 6% Total contribution with the spillover effecta 12,930 13,480 4% Labor Income ($millions) Direct contribution $382 $430 13% Indirect and induced without the spillover effecta $569 $603 6% Operational $405 $398 -2% Capital Spending $165 $205 24% Total contribution without the spillover effecta $952 $1,033 9% Cross-state spillover $780 $833 7% Total contribution with the spillover effecta $1,732 $",scale_context_not_job_creation,True,False
ev_0032,data_centre,data_centre,dc_pwc_dcc_2025,industry_io,Economic contributions of data centers in the United States 2023-2024,dc_metric_0037,partial_accept,False,supporting_with_caveats,supporting_with_caveats,capex,investment_scale,operation,"$1,918",Capital spending / investment contribution (direct or total from IO model) in data center sector economic contribution analysis,direct + indirect/induced (per PwC spillover model),estimated (2022-2023 IO tables),United States (various states; specific projects noted in quote),USD (report year ~2023-2026; verify exact),44.0,https://datacentercoalition.org/reports-and-publications,third_party_sources_not_redistributed/PwC_DCC_2025_Economic_Contributions_Data_Centers.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_pwc_dcc_2025.txt,PwC models total contribution with/without cross-state spillover. Verify which column (Operational vs Capital Spending) the value comes from in source tables. High value for understanding multipliers.,"Item 2022 2023 Growth Employment (jobs) Direct contribution 28,120 30,070 7% Indirect and induced without the spillover effecta 135,360 146,720 8% Operational 121,640 129,990 7% Capital Spending 13,720 16,730 22% Total contribution without the spillover effecta 163,480 176,790 8% Cross-state spillover 42,590 44,340 4% Total contribution with the spillover effecta 206,070 221,130 7% Labor Income ($millions) Direct contribution $4,336 $4,810 11% Indirect and induced without the spillover effecta $8,551 $9,292 9% Operational $7,489 $8,005 7% Capital Spending $1,063 $1,287 21% Total contribution without the spillover effecta $12,887 $14,103 9% Cross-state spillover $2,900 $3,073 6% Total contrib",scale_context_not_job_creation,True,False
ev_0033,data_centre,data_centre,dc_pwc_dcc_2025,industry_io,Economic contributions of data centers in the United States 2023-2024,dc_metric_0038,partial_accept,False,supporting_with_caveats,supporting_with_caveats,capex,investment_scale,operation,"$9,095",Capital spending / investment contribution (direct or total from IO model) in data center sector economic contribution analysis,direct + indirect/induced (per PwC spillover model),estimated (2022-2023 IO tables),United States (various states; specific projects noted in quote),USD (report year ~2023-2026; verify exact),43.0,https://datacentercoalition.org/reports-and-publications,third_party_sources_not_redistributed/PwC_DCC_2025_Economic_Contributions_Data_Centers.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_pwc_dcc_2025.txt,PwC models total contribution with/without cross-state spillover. Verify which column (Operational vs Capital Spending) the value comes from in source tables. High value for understanding multipliers.,"Item 2022 2023 Growth Employment (jobs) Direct contribution 38,490 40,090 4% Indirect and induced without the spillover effecta 191,560 203,880 6% Operational 166,150 172,950 4% Capital Spending 25,410 30,930 22% Total contribution without the spillover effecta 230,050 243,970 6% Cross-state spillover 87,850 91,830 5% Total contribution with the spillover effecta 317,900 335,800 6% Labor Income ($millions) Direct contribution $5,294 $5,737 8% Indirect and induced without the spillover effecta $11,368 $12,142 7% Operational $9,577 $9,973 4% Capital Spending $1,791 $2,170 21% Total contribution without the spillover effecta $16,662 $17,880 7% Cross-state spillover $5,277 $5,614 6% Total contri",scale_context_not_job_creation,True,False
ev_0034,data_centre,data_centre,dc_pwc_dcc_2025,industry_io,Economic contributions of data centers in the United States 2023-2024,dc_metric_0039,partial_accept,False,supporting_with_caveats,supporting_with_caveats,capex,investment_scale,operation,"$29,857",Capital spending / investment contribution (direct or total from IO model) in data center sector economic contribution analysis,direct + indirect/induced (per PwC spillover model),estimated (2022-2023 IO tables),United States (various states; specific projects noted in quote),USD (report year ~2023-2026; verify exact),43.0,https://datacentercoalition.org/reports-and-publications,third_party_sources_not_redistributed/PwC_DCC_2025_Economic_Contributions_Data_Centers.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_pwc_dcc_2025.txt,PwC models total contribution with/without cross-state spillover. Verify which column (Operational vs Capital Spending) the value comes from in source tables. High value for understanding multipliers.,"Item 2022 2023 Growth Employment (jobs) Direct contribution 38,490 40,090 4% Indirect and induced without the spillover effecta 191,560 203,880 6% Operational 166,150 172,950 4% Capital Spending 25,410 30,930 22% Total contribution without the spillover effecta 230,050 243,970 6% Cross-state spillover 87,850 91,830 5% Total contribution with the spillover effecta 317,900 335,800 6% Labor Income ($millions) Direct contribution $5,294 $5,737 8% Indirect and induced without the spillover effecta $11,368 $12,142 7% Operational $9,577 $9,973 4% Capital Spending $1,791 $2,170 21% Total contribution without the spillover effecta $16,662 $17,880 7% Cross-state spillover $5,277 $5,614 6% Total contri",scale_context_not_job_creation,True,False
ev_0035,data_centre,data_centre,dc_pwc_dcc_2025,industry_io,Economic contributions of data centers in the United States 2023-2024,dc_metric_0040,partial_accept,False,supporting_with_caveats,supporting_with_caveats,capex,investment_scale,operation,$405,Capital spending / investment contribution (direct or total from IO model) in data center sector economic contribution analysis,direct + indirect/induced (per PwC spillover model),estimated (2022-2023 IO tables),United States (various states; specific projects noted in quote),USD (report year ~2023-2026; verify exact),42.0,https://datacentercoalition.org/reports-and-publications,third_party_sources_not_redistributed/PwC_DCC_2025_Economic_Contributions_Data_Centers.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_pwc_dcc_2025.txt,PwC models total contribution with/without cross-state spillover. Verify which column (Operational vs Capital Spending) the value comes from in source tables. High value for understanding multipliers.,"Item 2022 2023 Growth Employment (jobs) Direct contribution 2,100 2,080 -1% Indirect and induced without the spillover effecta 4,930 5,160 5% Operational 3,710 3,680 -1% Capital Spending 1,220 1,480 21% Total contribution without the spillover effecta 7,030 7,240 3% Cross-state spillover 5,900 6,240 6% Total contribution with the spillover effecta 12,930 13,480 4% Labor Income ($millions) Direct contribution $382 $430 13% Indirect and induced without the spillover effecta $569 $603 6% Operational $405 $398 -2% Capital Spending $165 $205 24% Total contribution without the spillover effecta $952 $1,033 9% Cross-state spillover $780 $833 7% Total contribution with the spillover effecta $1,732 $",scale_context_not_job_creation,True,False
ev_0036,data_centre,data_centre,dc_pwc_dcc_2025,industry_io,Economic contributions of data centers in the United States 2023-2024,dc_metric_0041,partial_accept,False,supporting_with_caveats,supporting_with_caveats,capex,investment_scale,operation,"$1,574",Capital spending / investment contribution (direct or total from IO model) in data center sector economic contribution analysis,direct + indirect/induced (per PwC spillover model),estimated (2022-2023 IO tables),United States (various states; specific projects noted in quote),USD (report year ~2023-2026; verify exact),42.0,https://datacentercoalition.org/reports-and-publications,third_party_sources_not_redistributed/PwC_DCC_2025_Economic_Contributions_Data_Centers.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_pwc_dcc_2025.txt,PwC models total contribution with/without cross-state spillover. Verify which column (Operational vs Capital Spending) the value comes from in source tables. High value for understanding multipliers.,"Item 2022 2023 Growth Employment (jobs) Direct contribution 2,100 2,080 -1% Indirect and induced without the spillover effecta 4,930 5,160 5% Operational 3,710 3,680 -1% Capital Spending 1,220 1,480 21% Total contribution without the spillover effecta 7,030 7,240 3% Cross-state spillover 5,900 6,240 6% Total contribution with the spillover effecta 12,930 13,480 4% Labor Income ($millions) Direct contribution $382 $430 13% Indirect and induced without the spillover effecta $569 $603 6% Operational $405 $398 -2% Capital Spending $165 $205 24% Total contribution without the spillover effecta $952 $1,033 9% Cross-state spillover $780 $833 7% Total contribution with the spillover effecta $1,732 $",scale_context_not_job_creation,True,False
ev_0037,data_centre,data_centre,dc_pwc_dcc_2025,industry_io,Economic contributions of data centers in the United States 2023-2024,dc_metric_0042,partial_accept,False,supporting_with_caveats,supporting_with_caveats,capex,investment_scale,operation,"$2,687",Capital spending / investment contribution (direct or total from IO model) in data center sector economic contribution analysis,direct + indirect/induced (per PwC spillover model),estimated (2022-2023 IO tables),United States (various states; specific projects noted in quote),USD (report year ~2023-2026; verify exact),42.0,https://datacentercoalition.org/reports-and-publications,third_party_sources_not_redistributed/PwC_DCC_2025_Economic_Contributions_Data_Centers.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_pwc_dcc_2025.txt,PwC models total contribution with/without cross-state spillover. Verify which column (Operational vs Capital Spending) the value comes from in source tables. High value for understanding multipliers.,"Item 2022 2023 Growth Employment (jobs) Direct contribution 2,100 2,080 -1% Indirect and induced without the spillover effecta 4,930 5,160 5% Operational 3,710 3,680 -1% Capital Spending 1,220 1,480 21% Total contribution without the spillover effecta 7,030 7,240 3% Cross-state spillover 5,900 6,240 6% Total contribution with the spillover effecta 12,930 13,480 4% Labor Income ($millions) Direct contribution $382 $430 13% Indirect and induced without the spillover effecta $569 $603 6% Operational $405 $398 -2% Capital Spending $165 $205 24% Total contribution without the spillover effecta $952 $1,033 9% Cross-state spillover $780 $833 7% Total contribution with the spillover effecta $1,732 $",scale_context_not_job_creation,True,False
ev_0038,data_centre,data_centre,dc_pwc_dcc_2025,industry_io,Economic contributions of data centers in the United States 2023-2024,dc_metric_0043,partial_accept,False,supporting_with_caveats,supporting_with_caveats,capex,investment_scale,operation,"$1,182",Capital spending / investment contribution (direct or total from IO model) in data center sector economic contribution analysis,direct + indirect/induced (per PwC spillover model),estimated (2022-2023 IO tables),United States (various states; specific projects noted in quote),USD (report year ~2023-2026; verify exact),42.0,https://datacentercoalition.org/reports-and-publications,third_party_sources_not_redistributed/PwC_DCC_2025_Economic_Contributions_Data_Centers.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_pwc_dcc_2025.txt,PwC models total contribution with/without cross-state spillover. Verify which column (Operational vs Capital Spending) the value comes from in source tables. High value for understanding multipliers.,"Item 2022 2023 Growth Employment (jobs) Direct contribution 2,100 2,080 -1% Indirect and induced without the spillover effecta 4,930 5,160 5% Operational 3,710 3,680 -1% Capital Spending 1,220 1,480 21% Total contribution without the spillover effecta 7,030 7,240 3% Cross-state spillover 5,900 6,240 6% Total contribution with the spillover effecta 12,930 13,480 4% Labor Income ($millions) Direct contribution $382 $430 13% Indirect and induced without the spillover effecta $569 $603 6% Operational $405 $398 -2% Capital Spending $165 $205 24% Total contribution without the spillover effecta $952 $1,033 9% Cross-state spillover $780 $833 7% Total contribution with the spillover effecta $1,732 $",scale_context_not_job_creation,True,False
ev_0039,data_centre,data_centre,dc_pwc_dcc_2025,industry_io,Economic contributions of data centers in the United States 2023-2024,dc_metric_0044,partial_accept,False,supporting_with_caveats,supporting_with_caveats,capex,investment_scale,operation,"$13,595",Capital spending / investment contribution (direct or total from IO model) in data center sector economic contribution analysis,direct + indirect/induced (per PwC spillover model),estimated (2022-2023 IO tables),United States (various states; specific projects noted in quote),USD (report year ~2023-2026; verify exact),44.0,https://datacentercoalition.org/reports-and-publications,third_party_sources_not_redistributed/PwC_DCC_2025_Economic_Contributions_Data_Centers.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_pwc_dcc_2025.txt,PwC models total contribution with/without cross-state spillover. Verify which column (Operational vs Capital Spending) the value comes from in source tables. High value for understanding multipliers.,"Item 2022 2023 Growth Employment (jobs) Direct contribution 28,120 30,070 7% Indirect and induced without the spillover effecta 135,360 146,720 8% Operational 121,640 129,990 7% Capital Spending 13,720 16,730 22% Total contribution without the spillover effecta 163,480 176,790 8% Cross-state spillover 42,590 44,340 4% Total contribution with the spillover effecta 206,070 221,130 7% Labor Income ($millions) Direct contribution $4,336 $4,810 11% Indirect and induced without the spillover effecta $8,551 $9,292 9% Operational $7,489 $8,005 7% Capital Spending $1,063 $1,287 21% Total contribution without the spillover effecta $12,887 $14,103 9% Cross-state spillover $2,900 $3,073 6% Total contrib",scale_context_not_job_creation,True,False
ev_0040,data_centre,data_centre,dc_pwc_dcc_2025,industry_io,Economic contributions of data centers in the United States 2023-2024,dc_metric_0045,partial_accept,False,supporting_with_caveats,supporting_with_caveats,capex,investment_scale,operation,"$2,946",Capital spending / investment contribution (direct or total from IO model) in data center sector economic contribution analysis,direct + indirect/induced (per PwC spillover model),estimated (2022-2023 IO tables),United States (various states; specific projects noted in quote),USD (report year ~2023-2026; verify exact),42.0,https://datacentercoalition.org/reports-and-publications,third_party_sources_not_redistributed/PwC_DCC_2025_Economic_Contributions_Data_Centers.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_pwc_dcc_2025.txt,PwC models total contribution with/without cross-state spillover. Verify which column (Operational vs Capital Spending) the value comes from in source tables. High value for understanding multipliers.,"Item 2022 2023 Growth Employment (jobs) Direct contribution 2,100 2,080 -1% Indirect and induced without the spillover effecta 4,930 5,160 5% Operational 3,710 3,680 -1% Capital Spending 1,220 1,480 21% Total contribution without the spillover effecta 7,030 7,240 3% Cross-state spillover 5,900 6,240 6% Total contribution with the spillover effecta 12,930 13,480 4% Labor Income ($millions) Direct contribution $382 $430 13% Indirect and induced without the spillover effecta $569 $603 6% Operational $405 $398 -2% Capital Spending $165 $205 24% Total contribution without the spillover effecta $952 $1,033 9% Cross-state spillover $780 $833 7% Total contribution with the spillover effecta $1,732 $",scale_context_not_job_creation,True,False
ev_0041,data_centre,data_centre,dc_pwc_dcc_2025,industry_io,Economic contributions of data centers in the United States 2023-2024,dc_metric_0046,partial_accept,False,supporting_with_caveats,supporting_with_caveats,capex,investment_scale,operation,$98,Capital spending / investment contribution (direct or total from IO model) in data center sector economic contribution analysis,direct + indirect/induced (per PwC spillover model),estimated (2022-2023 IO tables),United States (various states; specific projects noted in quote),USD (report year ~2023-2026; verify exact),42.0,https://datacentercoalition.org/reports-and-publications,third_party_sources_not_redistributed/PwC_DCC_2025_Economic_Contributions_Data_Centers.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_pwc_dcc_2025.txt,PwC models total contribution with/without cross-state spillover. Verify which column (Operational vs Capital Spending) the value comes from in source tables. High value for understanding multipliers.,"Item 2022 2023 Growth Employment (jobs) Direct contribution 2,100 2,080 -1% Indirect and induced without the spillover effecta 4,930 5,160 5% Operational 3,710 3,680 -1% Capital Spending 1,220 1,480 21% Total contribution without the spillover effecta 7,030 7,240 3% Cross-state spillover 5,900 6,240 6% Total contribution with the spillover effecta 12,930 13,480 4% Labor Income ($millions) Direct contribution $382 $430 13% Indirect and induced without the spillover effecta $569 $603 6% Operational $405 $398 -2% Capital Spending $165 $205 24% Total contribution without the spillover effecta $952 $1,033 9% Cross-state spillover $780 $833 7% Total contribution with the spillover effecta $1,732 $",scale_context_not_job_creation,True,False
