record_id,source_id,asset_type,project_or_source_name,location,country,year,source_type,method,funding_or_bias_flag,capex_value,capex_currency,capex_price_year,capex_aud_2026,gfa_m2,capacity_mw,construction_jobs_peak,construction_jobs_average,construction_duration_months,construction_job_years,operations_jobs_fte,direct_jobs_only,total_supported_jobs,projected_or_realised,reported_or_derived,metric_notes,source_quote,page_or_location,source_url,full_text_file,confidence,ra_verification_status
cmp_src_0001_metric_001,cmp_src_0001,advanced_manufacturing_or_fab,Nevada GOED (2018/2024),,,,web_or_other,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Asset: Battery Gigafactory (Tesla) | Claim/benchmark to verify: Realized 34/66 building-to-equipment capex split. 9,474 qualified ops jobs. ~1,167 jobs/$1B capex. | Quality note: High (Ex-post statutory audit; low risk of bias)",,,N/A (State Audit),,unverified_candidate_source,not_started
cmp_src_0002_metric_001,cmp_src_0002,unclear_or_methods_only,What you Should Know about Megaprojects and Why: An Overview,,,2014,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Asset: Megaprojects | Claim/benchmark to verify: Projects >$1B systematically overestimate economic benefits and underestimate costs. | Quality note: High (Peer-reviewed academic)",,,https://doi.org/10.1002/pmj.21409,,unverified_candidate_source,not_started
cmp_src_0003_metric_001,cmp_src_0003,advanced_manufacturing_or_fab; public_infrastructure_or_methods,Empire State Dev. (2022),,,,web_or_other,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Asset: Semiconductor (Micron) | Claim/benchmark to verify: $99.6B capex. Phase 2 equipment-to-building ratio is 4.20:1. 90 jobs/$1B capex. | Quality note: Medium (Ex-ante I-O model; high risk of multiplier inflation)",,,N/A (State Report),,unverified_candidate_source,not_started
cmp_src_0004_metric_001,cmp_src_0004,advanced_manufacturing_or_fab,Faraday Institution (2024),,,,web_or_other,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Asset: Battery Sector | Claim/benchmark to verify: Average of 180 direct manufacturing jobs per GWh of annual capacity. | Quality note: Medium (Professional body benchmark)",,,faraday.ac.uk,,unverified_candidate_source,not_started
cmp_src_0005_metric_001,cmp_src_0005,advanced_manufacturing_or_fab,U.S. DOC (2024),,,,government_or_audit,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Asset: Semiconductor (Intel Ocotillo) | Claim/benchmark to verify: $32B capex; 3,000 peak construction; 3,000 ops jobs. ~93 jobs/$1B capex. | Quality note: High (Ex-ante NEPA EA; rigorous methodology)",,,nist.gov,,unverified_candidate_source,not_started
cmp_src_0006_metric_001,cmp_src_0006,advanced_manufacturing_or_fab,U.S. DOE (2023),,,,government_or_audit,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Asset: Battery (BlueOval SK) | Claim/benchmark to verify: 3,500-4,000 peak construction workers; 75-80% imported labor leakage. 5,000 ops jobs. | Quality note: High (Ex-ante NEPA EA; rigorous methodology)",,,energy.gov,,unverified_candidate_source,not_started
cmp_src_0007_metric_001,cmp_src_0007,advanced_manufacturing_or_fab,Financial management of construction projects: Hyperledger fabric and chaincode solutions,,,2022,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.autcon.2022.104185,,unverified_candidate_source,not_started
cmp_src_0008_metric_001,cmp_src_0008,public_infrastructure_or_methods,Local Multipliers,,,2010,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1257/aer.100.2.373,,unverified_candidate_source,not_started
cmp_src_0010_metric_001,cmp_src_0010,public_infrastructure_or_methods,The effect of environmental regulation on firms’ competitive performance: The case of the building &amp; construction sector in some EU regions,,,2011,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.jenvman.2011.03.039,,unverified_candidate_source,not_started
cmp_src_0011_metric_001,cmp_src_0011,advanced_manufacturing_or_fab,Understand technological innovation investment performance: Evolution of industry-university-research cooperation for technological innovation of lithium-ion storage battery in China,,,2022,doi_verified_academic_or_report,,possible_industry_or_consultant_bias,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.est.2021.103607,,unverified_candidate_source,not_started
cmp_src_0009_metric_001,cmp_src_0009,public_infrastructure_or_methods,Assessment and regression of carbon emissions from the building and construction sector in China: A provincial study using machine learning,,,2024,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.jclepro.2024.141903,,unverified_candidate_source,not_started
cmp_src_0044_metric_001,cmp_src_0044,energy_or_utility,Putting renewables and energy efficiency to work: How many jobs can the clean energy industry generate in the US?,,,2010,doi_verified_academic_or_report,,possible_industry_or_consultant_bias,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.enpol.2009.10.044,,unverified_candidate_source,not_started
cmp_src_0035_metric_001,cmp_src_0035,public_infrastructure_or_methods,Life-cycle carbon emission assessment and permit allocation methods: A multi-region case study of China’s construction sector,,,2017,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.ecolind.2016.09.023,,unverified_candidate_source,not_started
cmp_src_0036_metric_001,cmp_src_0036,energy_or_utility; public_infrastructure_or_methods,Multi-criteria decision-making and uncertainty analyses of off-grid hybrid renewable energy systems for an island community [dataset],,,2025.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. economic impact assessment | ",,,https://researchdata.durham.ac.uk/files/r1sq87bt72t,,unverified_candidate_source,not_started
cmp_src_0037_metric_001,cmp_src_0037,public_infrastructure_or_methods,NUOnet (Nutrient Use and Outcome Network) database,,,2026.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. economic impact assessment | ",,,https://www.datalumos.org/datalumos/project/250288/view,,unverified_candidate_source,not_started
cmp_src_0038_metric_001,cmp_src_0038,public_infrastructure_or_methods,NUOnet (Nutrient Use and Outcome Network) database,,,2026.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. economic impact assessment | ",,,https://www.datalumos.org/datalumos/project/250288/version/V1/view,,unverified_candidate_source,not_started
cmp_src_0039_metric_001,cmp_src_0039,public_infrastructure_or_methods,"National Travel Survey, 1995-2001: Special Licence Access",,,2022.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. economic impact assessment | ",,,https://datacatalogue.ukdataservice.ac.uk/studies/study/7804,,unverified_candidate_source,not_started
cmp_src_0041_metric_001,cmp_src_0041,high_rise_or_office,Offsite construction in the Australian low-rise residential buildings application levels and procurement options,,,2021,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1108/ecam-07-2020-0583,,unverified_candidate_source,not_started
cmp_src_0042_metric_001,cmp_src_0042,energy_or_utility,"Optimal sizing, operating strategy and operational experience of a stand-alone microgrid on Dongfushan Island",,,2014,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.apenergy.2013.09.015,,unverified_candidate_source,not_started
cmp_src_0043_metric_001,cmp_src_0043,advanced_manufacturing_or_fab; energy_or_utility,Optimisation of PV-wind-diesel-battery stand-alone systems to minimise cost and maximise human development index and job creation,,,2016,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.renene.2016.03.065,,unverified_candidate_source,not_started
cmp_src_0050_metric_001,cmp_src_0050,energy_or_utility,Table 5 - 1 in Preliminary Environmental and Social Impact Assessment 100 MW Solar PV Plant by Navoi in Uzbekistan,,,2020.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. jobs per million investment | ",,,https://zenodo.org/doi/10.5281/zenodo.17729853,,unverified_candidate_source,not_started
cmp_src_0045_metric_001,cmp_src_0045,energy_or_utility,"Replication Package for ""The Heterogeneous Impact of Short-Time Work: From Saved Jobs to Windfall Effects""",,,2026.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. construction employment | ",,,https://zenodo.org/doi/10.5281/zenodo.20721171,,unverified_candidate_source,not_started
cmp_src_0046_metric_001,cmp_src_0046,public_infrastructure_or_methods,"Replication data for ""Observational uncertainty is the primary source of climate uncertainty in impacts projections""",,,2026.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. economic impact assessment | ",,,10.5281/zenodo.21113460,,unverified_candidate_source,not_started
cmp_src_0047_metric_001,cmp_src_0047,high_rise_or_office,"Risk and Rehabilitation: Supporting the Work of Probation Officers in the Community Reentry of Extremist Offenders, United States, 1990-2022",,,2026.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. construction employment | ",,,https://www.icpsr.umich.edu/web/NACJD/studies/39247/versions/V1,,unverified_candidate_source,not_started
cmp_src_0048_metric_001,cmp_src_0048,energy_or_utility,"Role of green finance, volatility and risk in promoting the investments in Renewable Energy Resources in the post-covid-19",,,2022,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.resourpol.2022.102563,,unverified_candidate_source,not_started
cmp_src_0049_metric_001,cmp_src_0049,public_infrastructure_or_methods; data_centre_benchmark,"Simulated streamflow, demands and aquifer levels in the Cauvery Basin, India, 1986-2080 using the Global Water Availability Assessment Model (GWAVA)",,,2021.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. economic impact assessment | ",,,https://catalogue.ceh.ac.uk/id/522309f8-59b1-4982-85df-cb3171c2a062,,unverified_candidate_source,not_started
cmp_src_0033_metric_001,cmp_src_0033,advanced_manufacturing_or_fab,IoT-Based Intelligent Construction System for Prefabricated Buildings: Study of Operating Mechanism and Implementation in China,,,2020,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.3390/app10186311,,unverified_candidate_source,not_started
cmp_src_0051_metric_001,cmp_src_0051,public_infrastructure_or_methods,The Financial Consequences of Populism: Evidence on Financial Inclusion and Financialization,,,2026.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. economic impact assessment | ",,,10.5281/zenodo.21115309,,unverified_candidate_source,not_started
cmp_src_0052_metric_001,cmp_src_0052,public_infrastructure_or_methods,The economic impact of universities: Evidence from across the globe,,,2019,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.econedurev.2018.09.001,,unverified_candidate_source,not_started
cmp_src_0053_metric_001,cmp_src_0053,advanced_manufacturing_or_fab,Unlocking the green opportunity for prefabricated buildings and construction in China,,,2018,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.resconrec.2018.08.025,,unverified_candidate_source,not_started
cmp_src_0034_metric_001,cmp_src_0034,public_infrastructure_or_methods,Leduc & Wilson (2013),,,,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Asset: Infrastructure | Claim/benchmark to verify: Broad public infrastructure yields ~0.8 to 2.0 job-years per $100,000 spent. | Quality note: High (Peer-reviewed academic)",,,https://doi.org/10.1086/663986,,unverified_candidate_source,not_started
cmp_src_0040_metric_001,cmp_src_0040,public_infrastructure_or_methods,"National Travel Survey, 2002-2024: Special Licence Access",,,2026.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. economic impact assessment | ",,,https://datacatalogue.ukdataservice.ac.uk/studies/study/7553,,unverified_candidate_source,not_started
cmp_src_0032_metric_001,cmp_src_0032,public_infrastructure_or_methods,Inward Investment and Local Linkages: How Deeply Embedded is “Silicon Glen”?,,,1993,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1080/00343409312331347655,,unverified_candidate_source,not_started
cmp_src_0021_metric_001,cmp_src_0021,energy_or_utility,Employment benefits of electricity generation: A comparative assessment of lignite and natural gas power plants in Greece,,,2009,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.enpol.2009.05.015,,unverified_candidate_source,not_started
cmp_src_0012_metric_001,cmp_src_0012,public_infrastructure_or_methods,A Strategic Framework for Copyright-Free Science: Dismantling Publishing Monopolies in the Knowledge Commons,,,2026.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. economic impact assessment | ",,,https://zenodo.org/doi/10.5281/zenodo.21005482,,unverified_candidate_source,not_started
cmp_src_0031_metric_001,cmp_src_0031,advanced_manufacturing_or_fab,Hyperledger fabric-based consortium blockchain for construction quality information management,,,2020,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1007/s42524-020-0128-y,,unverified_candidate_source,not_started
cmp_src_0013_metric_001,cmp_src_0013,public_infrastructure_or_methods,A Strategic Framework for Copyright-Free Science: Dismantling Publishing Monopolies in the Knowledge Commons,,,2026.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. economic impact assessment | ",,,https://zenodo.org/doi/10.5281/zenodo.21005483,,unverified_candidate_source,not_started
cmp_src_0014_metric_001,cmp_src_0014,warehouse_or_logistics,"Artificial intelligence for production, operations and logistics management in modular construction industry: A systematic literature review",,,2024,doi_verified_academic_or_report,,possible_industry_or_consultant_bias,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.inffus.2024.102423,,unverified_candidate_source,not_started
cmp_src_0015_metric_001,cmp_src_0015,public_infrastructure_or_methods,Assessment and Driving Factors of Embodied Carbon Emissions in the Construction Sector: Evidence from 2005 to 2021 in Northeast China,,,2024,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.3390/su16135681,,unverified_candidate_source,not_started
cmp_src_0016_metric_001,cmp_src_0016,data_centre_benchmark,Automatic reconstruction of as-built building information models from laser-scanned point clouds: A review of related techniques,,,2010,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.autcon.2010.06.007,,unverified_candidate_source,not_started
cmp_src_0018_metric_001,cmp_src_0018,unclear_or_methods_only,"Comparative Socio-Economic, Public Policy, and Political Data,1900-1960",,,1984.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. jobs per million investment | ",,,https://www.icpsr.umich.edu/web/ICPSR/studies/34,,unverified_candidate_source,not_started
cmp_src_0019_metric_001,cmp_src_0019,public_infrastructure_or_methods,"Comprehensive Topographic and Land Use Survey of Areas 1 and 2 at the University of São Paulo, São Carlos Campus, Brazil, Using Metashape and GIS",,,2026.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. economic impact assessment | ",,,10.5281/zenodo.21028567,,unverified_candidate_source,not_started
